,0
0,15.03.2022 обратился на горячую линию для закрытия счет по кредиту и получения справки о закрытии и состоянии счетов на 21.12.2021
1,"Уже который год в ТКБ не решается ""глобальная проблема"" отправки банальной справки об остатке на счёте при запросе в приложении, веб версии и т.п"
2,Добрый день
3,"Добрый день Сегодня, зайдя в свой личный кабинет я обнаружила, что из него пропала вся информация по всем моим счетам"
4,"Обслуживаюсь в Тинькофф пару лет, возникла жесточайшая потребность в получении квалифицированного инвестора с возможной последующей покупкой акций акционерного общества"
5,"В начале месяца прогремела новость о том, что начиная с 23го июня банк начнет снимать комиссию 12% годовых с валютных счетов"
6,Оставляю отзыв о работе персонального менеджера- Т-ч Никита
7,После введенных ЦБ ограничений выдача наличных долларов осуществляется банком по заявке не менее чем за 20 дней
8,"Захожу на сайт ВТБ, вхожу в личный кабинет, но не могу получить инфу о движении средств на карте.."
9,"Банк замечательно и быстро выдает кредит- тут все налажено ( являюсь клиентом банка с 2008 года - знаю), но вот потом - вы для банка- никто и на ваши запросы можно не отвечать"
10,Отвратительная работа банка
11,"Когда открыл первое ИП для работы, выбрал Сбербанк, который на тот момент давал такие же условия на рынке, как и другие банки"
12,"Итак, погнали! Несколько лет я пользовался продуктами банка и не понимал почему такая дурная слава ходит"
13,11 июля на мою почту от ТБ поступило письмо о штрафе в 1000 руб ГИБДД
14,"Пользуюсь услугами банка больше 7 лет (2 разных карты, накопительные счета и тд.) и всегда сервис был на высоте, всем рекомендовала, что все четко и быстро решается"
15,"Хочу сказать большое спасибо сотруднику банка П-му Артему Александровичу за помощь и неравнодушие,у меня возникли большие трудности с оплатой кредита, он вник в ситуацию и очень помог и продолжает помогать!Он всегда общается очень вежливо и с..."
16,"12 октября стала клиентом ВТБ, для того, чтобы открыть вклад ""Надёжная основа"" на 370 дней под 8,3% годовых"
17,Пользуюсь кредитной картой Альфа-Банка уже как пару лет
18,"Сбербанк уже 2й раз списывает автоматически с карты алименты в погашение кредита! Карту отвязать с автоплатежа не получается, т.к"
19,"Здравствуйте, 17 июля столкнулась с неприятной ситуацией на Яровом и их картой ""причал"""
20,"Получил кредитку, сказал курьеру отключить все платные услуги и страховки по карте"
21,Добрый день! Выражаю свою признательность за профессионализм сотруднику банка - Главному клиентскому менеджеру Д-ву Дмитрию
22,"По итогу начали служебную проверку в отношении сотрудника, также было написано заявление в МВД по ЦАО"
23,Пользуюсь услугами банка давно и до последнего момента был доволен
24,"02.08.2021 я передал в ПАО Сбербанк заявление о приеме к исполнению исполнительного листа ФС№ 03***82, для взыскания денежных средств в размере 214906,50 руб"
25,Я являюсь клиентом банка Открытие на протяжении 1 месяца
26,"Взял потребительский кредит в Совкомбанке, за который при полном погашении долга и соблюдении условий банка, возвращаются проценты"
27,"Столкнулся с проблемой, страховки"
28,"У меня была карта Восток, банка Восточный, после того как последний стал частью Совкомбанка, карта стала Халвой"
29,"С банком с 2020 года, но менять не собираюсь"
30,14.02.2022г на счет моей матери 408179**************11 ( я являюсь доверенным лицом по данному счету) Г-ич Альбине М
31,Здравствуйте
32,Пытаюсь продлить страховой полис
33,Прошу проверить звонок от 01.07.2022 в 17:58 (самарское время) с номера 89******** на номер 88002000000 и наказать сотрудника по всей вашей строгости
34,Я взял 31.07.2022 я взял автокредит в диллерском центре Джили в городе Иркутске
35,"Раньше в моём городе был банк Золотое кольцо Урала потом он вошёл в МКБ,оттуда я и узнал про него"
36,25 марта 2022 я отправила SWIFT перевод близкому родственнику в Грузию﻿30 марта 2022 пришло сообщение от банка Тинькофф с просьбой уточнить реквизиты банка корреспондента31 марта 2022 я предоставила Тинькофф данные банка корреспондента4 мая 2022...
37,Мы все часто забываем очевидные вещи..
38,14 октября 2022 года срочно понадобилось перевезти крупную сумму в другой банк
39,"Проблемы с которыми пришлось столкнуться и часть из которых оказалась не решена: Неправильный расчёт процентов по накопительному счёту.Необоснованное списание средств за смс информирование по карте, которого не подключал"
40,"Сегодня полдня в ВТБ не работает СБП, звоню в банк с вопросом в чем дело и когда заработает СБП"
41,Добрый день у меня проблема положил деньги в банкомат он их взял и завис обратились в поддержку оставили заявку нам ответили в смс ждите с 04.01.22 до 16.01.22 наступила дата решения прислали еще смс продлено до 25.01.22 я не понимаю в чем проблема...
42,Оплатила ЖКХ 8 ноября через Сбербанк онлайн и попыталась распечатать бумажное подтверждение платежа
43,"Хороший банк, на 4 из 5, но 5 я бы никому не поставил в РФ"
44,"01.09.2021 года я подал заявку на оформление дебетовой карты на сайте банка, при входящем звонке от сотрудника банка выяснилось, что у банка нет данных о коде подразделения отдела милиции моего паспорта"
45,После перевыпуска дебетовой карты попытался привязать её к имеющимся у меня платёжным системам
46,"Я хочу выразить своим отзывом благодарность сотруднику ""МТС - Бснка"" в г"
47,"Приветствую  Не хотел писать этот отзыв но придется, накипело"
48,"Хотел написать заявление в полицию по факту хищения средств со счета в МТС банке, на просьбу предоставить платежку или справку о том куда ушли мои деньги - сотрудники техподдержки сообщили что они этого делать не умеют и не будут и предложили..."
49,Работники юр.отдела банка терроризируют меня долгое время телефонными звонками в связи с кредитом не мою взятым
50,я стал премиальные клиентом Бкс
51,Система поддержки пользователей на нулевом уровне
52,"Верный своей манере, начну издалека"
53,11.10.2021 получил предложение об открытии брокерского счета в Альфа-Инвестициях через приложение Альфа-Банк
54,"Не так давно пользуюсь Совкомбанк, нравятся продукты банка"
